date,close
2007-04-19,54.8
2007-04-20,57.1
2007-04-23,57.5
2007-04-24,58.4
2007-04-25,57.22
2007-04-26,56.4
2007-04-27,56.8
2007-04-30,56.1
2007-05-01,55.8
2007-05-02,56.32
2007-05-03,57.3
2007-05-04,57.6
2007-05-07,58.14
2007-05-08,58.6
2007-05-09,61.7
2007-05-10,60.82
2007-05-11,61.82
2007-05-14,63.84
2007-05-15,68.42
2007-05-16,68.72
2007-05-17,72.8
2007-05-18,73.16
2007-05-21,69.08
2007-05-22,67.42
2007-05-23,67.16
2007-05-24,67.86
2007-05-25,70.02
2007-05-29,67.8
2007-05-30,71.64
2007-05-31,71.32
2007-06-01,73.18
2007-06-04,73.36
2007-06-05,70.52
2007-06-06,67.78
2007-06-07,65.06
2007-06-08,65.1
2007-06-11,67.54
2007-06-12,66.24
2007-06-13,67.58
2007-06-14,65.86
2007-06-15,71.2
2007-06-18,71.24
2007-06-19,67.98
2007-06-20,65.28
2007-06-21,67.24
2007-06-22,67.66
2007-06-25,70.0
2007-06-26,69.52
2007-06-27,69.7
2007-06-28,67.3
2007-06-29,66.08
2007-07-02,66.06
2007-07-03,68.68
2007-07-05,68.38
2007-07-06,70.34
2007-07-09,70.36
2007-07-10,71.22
2007-07-11,72.34
2007-07-12,74.32
2007-07-13,74.42
2007-07-16,76.72
2007-07-17,80.66
2007-07-18,78.64
2007-07-19,79.1
2007-07-20,78.74
2007-07-23,78.02
2007-07-24,75.5
2007-07-25,71.28
2007-07-26,70.9
2007-07-27,70.4
2007-07-30,74.58
2007-07-31,73.24
2007-08-01,73.7
2007-08-02,78.04
2007-08-03,62.32
2007-08-06,61.18
2007-08-07,64.0
2007-08-08,63.52
2007-08-09,55.98
2007-08-10,55.0
2007-08-13,57.66
2007-08-14,55.48
2007-08-15,51.58
2007-08-16,48.3
2007-08-17,52.36
2007-08-20,51.4
2007-08-21,51.18
2007-08-22,51.08
2007-08-23,51.06
2007-08-24,56.7
2007-08-27,61.34
2007-08-28,59.86
2007-08-29,56.6
2007-08-30,53.86
2007-08-31,54.58
2007-09-04,57.3
2007-09-05,57.78
2007-09-06,56.18
2007-09-07,54.44
2007-09-10,53.5
2007-09-11,53.3
2007-09-12,52.04
2007-09-13,49.58
2007-09-14,50.2
2007-09-17,50.38
2007-09-18,50.92
2007-09-19,51.3
2007-09-20,52.88
2007-09-21,53.0
2007-09-24,53.42
2007-09-25,54.36
2007-09-26,53.98
2007-09-27,55.06
2007-09-28,54.56
2007-10-01,54.48
2007-10-02,55.7
2007-10-03,55.34
2007-10-04,55.2
2007-10-05,49.58
2007-10-08,48.4
2007-10-09,50.42
2007-10-10,49.62
2007-10-11,49.86
2007-10-12,49.7
2007-10-15,48.04
2007-10-16,45.6
2007-10-17,45.0
2007-10-18,44.2
2007-10-19,43.84
2007-10-22,41.2
2007-10-23,39.28
2007-10-24,39.26
2007-10-25,39.72
2007-10-26,42.8
2007-10-29,43.68
2007-10-30,43.2
2007-10-31,45.0
2007-11-01,40.28
2007-11-02,43.72
2007-11-05,43.28
2007-11-06,44.04
2007-11-07,42.96
2007-11-08,41.6
2007-11-09,32.2
2007-11-12,31.22
2007-11-13,32.9
2007-11-14,36.26
2007-11-15,36.72
2007-11-16,37.3
2007-11-19,35.2
2007-11-20,32.0
2007-11-21,30.48
2007-11-23,31.1
2007-11-26,30.88
2007-11-27,30.2
2007-11-28,32.46
2007-11-29,33.24
2007-11-30,34.2
2007-12-03,32.34
2007-12-04,34.02
2007-12-05,34.62
2007-12-06,33.6
2007-12-07,35.22
2007-12-10,35.3
2007-12-11,34.46
2007-12-12,34.1
2007-12-13,34.34
2007-12-14,36.04
2007-12-17,35.66
2007-12-18,34.86
2007-12-19,36.64
2007-12-20,40.28
2007-12-21,41.02
2007-12-24,40.08
2007-12-26,40.08
2007-12-27,39.42
2007-12-28,39.0
2007-12-31,38.9
2008-01-02,37.3
2008-01-03,37.0
2008-01-04,34.52
2008-01-07,32.94
2008-01-08,35.06
2008-01-09,34.66
2008-01-10,35.12
2008-01-11,34.44
2008-01-14,36.02
2008-01-15,36.4
2008-01-16,36.76
2008-01-17,36.44
2008-01-18,34.66
2008-01-22,33.14
2008-01-23,32.74
2008-01-24,33.0
2008-01-25,33.5
2008-01-28,33.08
2008-01-29,33.12
2008-01-30,34.18
2008-01-31,36.36
2008-02-01,37.02
2008-02-04,37.44
2008-02-05,35.12
2008-02-06,34.14
2008-02-07,34.16
2008-02-08,33.44
2008-02-11,32.64
2008-02-12,33.12
2008-02-13,33.16
2008-02-14,31.2
2008-02-15,32.22
