date,close,foreign_qty,organ_qty,indiv_qty,foreign_hold_pct
2026-04-22,132800,54301,113582,-175135,34.17
2026-04-23,129900,-162881,-117585,281313,34.0
2026-04-24,127500,-136895,-12672,148186,33.91
2026-04-27,130000,119381,-10835,-108010,34.02
2026-04-28,140000,80853,105263,-175775,34.18
2026-04-29,135800,-270538,-163347,462405,33.97
2026-04-30,140900,189867,162308,-364234,34.05
2026-05-04,143200,40576,-33049,-4361,34.08
2026-05-06,154900,968067,50480,-1041861,34.84
2026-05-07,148700,-237908,-50703,273265,34.6
2026-05-08,154100,241403,152866,-384147,34.82
2026-05-11,156700,-12596,4292,-2171,34.84
2026-05-12,184900,637454,316836,-937887,35.33
2026-05-13,191400,-235909,195843,46250,35.07
2026-05-14,217000,-333528,78023,267311,34.96
2026-05-15,240500,-1055581,-8555,1037610,34.15
2026-05-18,217000,-838551,-152307,988960,33.53
2026-05-19,191700,38516,-178330,162346,33.62
2026-05-20,181000,-76959,112733,-40427,33.61
2026-05-21,235000,74105,294918,-493813,33.69
2026-05-22,237000,-562875,198085,346009,33.22
2026-05-26,239500,-293459,175273,123329,33.03
2026-05-27,235000,-558365,115237,434843,32.67
2026-05-28,225500,71233,35332,-106644,32.73
2026-05-29,293000,-59488,445767,-559026,32.93
2026-06-01,380500,-391140,-280965,408140,32.47
2026-06-02,392500,-2536362,-351075,2774489,30.43
2026-06-04,328000,-1037762,-271969,1290309,29.73
2026-06-05,303000,-1042446,-18198,1105081,29.05
2026-06-08,268000,65869,-42539,-25315,29.25
2026-06-09,248000,-374598,-121138,514286,28.89
2026-06-10,224000,-140512,-75345,238034,28.88
2026-06-11,226000,-74850,106017,-31852,28.83
2026-06-12,225500,-126962,145349,-13967,28.77
2026-06-15,243500,-33196,16861,-12891,28.73
2026-06-16,234000,-153726,-86739,247041,28.54
2026-06-17,234500,31117,-44898,13748,28.56
2026-06-18,228500,61516,-16958,-41488,28.54
2026-06-19,211500,5408,-63702,56629,28.59
2026-06-22,227500,-223277,184390,25907,28.32
2026-06-23,202000,-122592,-125854,260847,28.18
2026-06-24,204500,156144,-23331,-130391,28.25
2026-06-25,203000,54266,-15744,-32718,28.26
2026-06-26,195900,251469,3518,-239384,28.49
2026-06-29,196700,-1424,-23166,24230,28.49
2026-06-30,203000,-92982,-4029,87738,28.4
2026-07-01,193300,-57081,-86681,143243,28.36
2026-07-02,192300,284513,170386,-435111,28.55
2026-07-03,191000,90869,26124,-116442,28.64
2026-07-06,185700,-7517,-104552,112771,28.62
2026-07-07,189100,47915,161668,-206604,28.59
2026-07-08,195800,78802,160687,-250962,28.71
2026-07-09,178000,-409382,40912,369303,28.38
2026-07-10,182400,268125,92188,-359553,28.64
2026-07-13,185600,33607,26157,-50330,28.67
2026-07-14,185400,50733,148230,-200383,28.69
2026-07-15,194000,131282,93873,-220714,28.8
2026-07-16,179000,-289065,-60694,347092,28.72
2026-07-20,167200,-3555,53299,-48260,28.77
2026-07-21,173200,196381,64943,-263489,28.91
2026-07-22,182700,353264,11185,-369554,29.17
2026-07-23,187500,-66977,-689,64041,29.14
2026-07-24,169200,-234445,-188135,425392,28.93
2026-07-27,172300,-44272,30331,13623,28.92
2026-07-28,157500,13776,-36062,22093,28.9
2026-07-29,150500,209682,79454,-276996,29.07
2026-07-30,148000,131571,-19680,-110752,29.14
2026-07-31,162100,-90804,-13951,96793,29.08
2026-08-03,158800,4963,25202,-29286,29.17
2026-08-04,165500,116794,38362,-156264,29.18
2026-08-05,179500,1607,255705,-257455,29.2
2026-08-06,175200,-13464,21390,-13175,29.16
2026-08-07,185000,-205897,42575,157036,28.94
2026-08-10,190000,64093,131625,-186003,28.99
2026-08-11,181700,-231326,-80873,310832,28.72
2026-08-12,205000,571754,346145,-918011,29.21
2026-08-13,206500,83740,-47976,-34004,29.22
2026-08-14,215000,180064,4387,-181166,29.35
2026-08-18,208000,-123470,-58545,179899,29.26
2026-08-19,201500,13781,-77437,60674,29.26
2026-08-20,202500,64711,-70144,-5755,29.29
2026-08-21,194500,162717,-154857,-12918,29.39
