date,open,high,low,close,volume
2002-10-29,1797.7249,1797.7249,1797.7249,1797.7249,501745
2002-10-30,2012.2261,2012.2261,1989.7545,2012.2261,20892185
2002-10-31,2042.8691,2091.8979,1865.1395,1912.1255,32327083
2002-11-01,1961.1544,2022.4404,1724.1815,1793.639,18373668
2002-11-04,1777.2961,1789.5533,1660.8525,1703.7528,16939411
2002-11-05,1695.5814,1785.4677,1695.5814,1701.71,15353406
2002-11-06,1728.2673,1740.5245,1626.1238,1664.9384,12487339
2002-11-07,1654.724,1746.6531,1650.6383,1666.9812,11682099
2002-11-08,1628.1667,1650.6383,1603.6522,1634.2953,6740519
2002-11-11,1630.2096,1730.3102,1630.2096,1675.1527,10783852
2002-11-12,1646.5525,1654.724,1573.0093,1585.2665,7176181
2002-11-13,1585.2665,1624.0809,1499.4659,1503.5516,10570917
2002-11-14,1552.5806,1568.9235,1450.4371,1495.3802,8566383
2002-11-15,1532.1519,1570.9663,1483.1229,1570.9663,10548889
2002-11-18,1564.8378,1591.395,1546.4519,1548.4948,6510451
2002-11-19,1568.9235,1613.8666,1564.8378,1577.095,9129317
2002-11-20,1577.095,1640.424,1575.0521,1640.424,10766720
2002-11-21,1662.8955,1671.0669,1605.6952,1613.8666,6620590
2002-11-22,1650.6383,1728.2673,1626.1238,1648.5953,17414233
2002-11-25,1671.0669,1697.6243,1626.1238,1662.8955,7900652
2002-11-26,1683.3242,1695.5814,1630.2096,1634.2953,8262888
2002-11-27,1613.8666,1638.381,1503.5516,1540.3234,19749184
2002-11-28,1573.0093,1652.6812,1540.3234,1609.7809,19103034
2002-11-29,1630.2096,1801.8105,1605.6952,1801.8105,36213773
2002-12-02,1801.8105,1801.8105,1801.8105,1801.8105,0
2002-12-03,1879.4396,1908.0398,1854.9252,1883.5254,12541185
2002-12-04,1838.5822,1961.1544,1826.325,1908.0398,14066001
2002-12-05,1948.8971,2132.7554,1891.6968,2083.7266,27789347
2002-12-06,2067.3835,2230.813,2063.2979,2116.4124,25280620
2002-12-09,2157.2698,2169.5271,2055.1262,2071.4692,8779319
2002-12-10,2030.6119,2157.2698,2022.4404,2128.6697,11682099
2002-12-11,2153.1841,2308.4421,2136.8411,2189.9558,19670863
2002-12-12,2243.0703,2402.4141,2234.8989,2357.4709,24279577
2002-12-13,2373.814,2480.0432,2337.0422,2357.4709,16239415
2002-12-16,2328.8708,2394.2427,2255.3274,2308.4421,8485614
2002-12-17,2377.8997,2381.9854,2267.5847,2296.1848,9158687
2002-12-18,2271.6704,2353.3853,2263.499,2288.0134,8350999
2002-12-19,2288.0134,2288.0134,2288.0134,2288.0134,0
2002-12-20,2263.499,2308.4421,2189.9558,2202.2129,6975483
2002-12-23,2189.9558,2238.9846,2040.8263,2124.584,9993298
2002-12-24,2124.584,2222.6416,2120.498,2185.8699,13603416
2002-12-25,2185.8699,2185.8699,2185.8699,2185.8699,0
2002-12-26,2181.7842,2189.9558,2042.8691,2042.8691,8512537
2002-12-27,1993.8402,2083.7266,1940.7257,2010.1832,8047505
2002-12-30,2002.0117,2010.1832,1781.3818,1818.1536,11226857
2002-12-31,1818.1536,1818.1536,1818.1536,1818.1536,0
2003-01-01,1818.1536,1818.1536,1818.1536,1818.1536,0
