date,open,high,low,close,volume
2008-05-20,11930.4385,12317.79,10148.6191,10148.6191,1769063
2008-05-21,9296.4453,10644.4297,9048.54,9606.3271,1932674
2008-05-22,9807.75,11047.2764,9172.4932,11047.2764,1302756
2008-05-23,11310.6748,12085.3789,10473.9951,10845.8525,2062078
2008-05-26,10938.8174,11434.6279,10288.0664,10365.5361,496318
2008-05-27,10504.9834,10582.4541,9900.7139,9947.1963,467275
2008-05-28,9916.208,10365.5361,9606.3271,9730.2793,333353
2008-05-29,9823.2441,10102.1377,9575.3389,9776.7617,339484
2008-05-30,9962.6904,10102.1377,9606.3271,9699.291,432746
2008-06-02,9621.8213,9699.291,9017.5518,9017.5518,384663
2008-06-03,8924.5879,9311.9395,8800.6348,9033.0459,313345
2008-06-04,9141.5049,9218.9746,8878.1055,9033.0459,201044
2008-06-05,9017.5518,9389.4102,8971.0693,8986.5635,300760
2008-06-06,8986.5635,8986.5635,8986.5635,8986.5635,0
2008-06-09,8676.6826,8676.6826,8103.4014,8227.3545,313022
2008-06-10,8211.8604,8335.8125,7375.1802,7607.5913,386276
2008-06-11,7747.0376,7824.5083,7390.6738,7809.0142,157479
2008-06-12,7747.0376,7747.0376,7421.6621,7514.6265,102942
2008-06-13,7592.0972,7731.5439,7297.7095,7483.6387,145216
2008-06-16,7669.5674,7669.5674,7235.7334,7344.1919,127790
2008-06-17,7344.1919,7375.1802,7003.3223,7189.251,190718
2008-06-18,7096.2866,7282.2153,6941.3457,7282.2153,248159
2008-06-19,7297.7095,7747.0376,7282.2153,7716.0498,365946
2008-06-20,7840.0024,8118.8955,7468.1445,7716.0498,278170
2008-06-23,7747.0376,7747.0376,7483.6387,7638.5791,115850
2008-06-24,7638.5791,7809.0142,7158.2627,7592.0972,185877
2008-06-25,7607.5913,7607.5913,7127.2749,7437.1562,103265
2008-06-26,7452.6504,7530.1206,7251.2275,7344.1919,51309
2008-06-27,6972.334,7111.7808,6755.417,6832.8872,176519
2008-06-30,6817.3931,6817.3931,6523.0059,6584.9819,112300
2008-07-01,6383.5591,6600.4761,6073.6777,6213.1245,155543
2008-07-02,6275.1006,6786.4053,6151.1479,6244.1123,312377
2008-07-03,6120.1597,6197.6304,5577.8672,5887.7485,158124
2008-07-04,5903.2427,6120.1597,5856.7607,5996.207,141344
2008-07-07,5996.207,6182.1362,5732.8081,6089.1719,133922
2008-07-08,6104.666,6182.1362,5422.9263,5887.7485,134244
2008-07-09,5965.2192,6042.6895,5283.48,5283.48,172323
2008-07-10,5082.0566,5515.8911,5082.0566,5515.8911,123272
2008-07-11,5484.9028,5701.8198,5345.4561,5453.9146,105201
2008-07-14,5453.9146,6166.6421,5345.4561,5825.7725,472761
2008-07-15,5794.7842,5872.2549,5391.9385,5453.9146,115205
2008-07-16,5515.8911,5732.8081,5469.4087,5670.8315,132954
2008-07-17,5856.7607,5856.7607,5655.3374,5717.314,120691
2008-07-18,5856.7607,5856.7607,5546.8789,5701.8198,192331
2008-07-21,5686.3257,5825.7725,5686.3257,5701.8198,98424
2008-07-22,5701.8198,5717.314,5345.4561,5422.9263,179423
2008-07-23,5732.8081,6058.1836,5686.3257,5763.7959,1195940
2008-07-24,5763.7959,6073.6777,5639.8438,5794.7842,617010
2008-07-25,5655.3374,5686.3257,5500.397,5500.397,312054
2008-07-28,5562.373,5577.8672,5314.4678,5515.8911,188459
2008-07-29,5422.9263,5624.3496,5360.9502,5546.8789,144571
2008-07-30,5624.3496,5965.2192,5624.3496,5949.7251,524071
2008-07-31,6011.7012,6027.1953,5810.2783,5872.2549,307859
2008-08-01,5825.7725,5949.7251,5810.2783,5856.7607,291078
2008-08-04,5903.2427,5934.231,5438.4204,5577.8672,178778
2008-08-05,5500.397,5965.2192,5484.9028,5593.3613,526007
2008-08-06,5717.314,5794.7842,5438.4204,5484.9028,213307
2008-08-07,5500.397,5546.8789,5236.9976,5345.4561,202980
2008-08-08,5267.9858,5329.9619,5206.0093,5221.5034,175873
2008-08-11,5298.9736,5453.9146,5283.48,5329.9619,112946
2008-08-12,5206.0093,5965.2192,4896.1279,5562.373,1318568
2008-08-13,5376.4443,5748.3022,5113.0449,5562.373,765776
2008-08-14,5593.3613,5810.2783,5500.397,5577.8672,306891
2008-08-15,5577.8672,5577.8672,5577.8672,5577.8672,0
2008-08-18,5624.3496,5670.8315,5252.4917,5252.4917,246545
2008-08-19,5159.5273,5267.9858,5004.5864,5236.9976,185554
2008-08-20,5236.9976,5314.4678,5066.5625,5190.5151,116496
2008-08-21,5267.9858,5267.9858,4896.1279,4973.5981,167483
2008-08-22,4927.1162,5020.0806,4570.7524,4803.1636,229765
2008-08-25,4803.1636,4865.1396,4555.2583,4555.2583,122950
2008-08-26,4353.8354,4431.3057,4260.8706,4369.3291,173937
2008-08-27,4415.8115,4415.8115,4059.4478,4353.8354,164256
2008-08-28,4276.3647,4338.3413,4152.4121,4245.377,76480
2008-08-29,4245.377,4384.8232,4090.436,4121.4243,83580
2008-09-01,4090.436,4152.4121,3517.1553,3517.1553,293015
2008-09-02,3517.1553,3532.6492,2990.3567,2990.3567,511163
2008-09-03,2881.8979,3067.8269,2757.9456,2943.8743,649925
2008-09-04,2928.3804,3284.7441,2915.9851,3207.2737,275911
2008-09-05,3033.74,3300.238,3027.5425,3129.8032,128436
2008-09-08,3238.2617,3548.1433,3191.7795,3439.6848,373045
2008-09-09,3424.1907,3594.6255,3253.7559,3408.6965,224279
2008-09-10,3362.2144,3548.1433,3284.7441,3548.1433,151348
2008-09-11,3548.1433,4074.9419,3548.1433,4059.4478,278170
2008-09-12,3966.4834,4477.7881,3950.9893,4090.436,621527
2008-09-15,4090.436,4090.436,4090.436,4090.436,0
2008-09-16,3532.6492,3780.5544,3486.167,3486.167,204917
2008-09-17,3625.6138,3904.5071,3594.6255,3842.5308,190718
2008-09-18,3672.0959,4183.4004,3579.1313,3718.5781,596356
2008-09-19,3935.4951,3997.4714,3749.5664,3889.0129,228474
2008-09-22,3997.4714,4059.4478,3780.5544,3842.5308,249772
2008-09-23,3889.0129,3950.9893,3718.5781,3889.0129,162320
2008-09-24,3842.5308,3920.0012,3796.0486,3858.0249,143280
2008-09-25,3842.5308,4028.4597,3687.5901,4028.4597,318508
2008-09-26,4152.4121,4632.7285,3718.5781,3827.0366,1254350
2008-09-29,3889.0129,3997.4714,3517.1553,3594.6255,186200
2008-09-30,3160.7915,3780.5544,3114.3091,3780.5544,456303
2008-10-01,3703.084,3780.5544,3439.6848,3455.179,349811
2008-10-02,3455.179,3579.1313,3238.2617,3238.2617,379822
2008-10-03,3238.2617,3238.2617,3238.2617,3238.2617,0
2008-10-06,3145.2974,3362.2144,2974.8625,2981.0601,397571
2008-10-07,2838.5146,3067.8269,2788.9336,2922.1826,169096
2008-10-08,2757.9456,2943.8743,2485.2498,2485.2498,341420
2008-10-09,2485.2498,2599.9058,2355.0996,2541.0283,194590
2008-10-10,2327.2102,2599.9058,2166.0718,2479.052,305277
2008-10-13,2513.1392,2695.9692,2513.1392,2618.4988,91002
2008-10-14,2788.9336,2863.3052,2717.6609,2844.7122,188781
2008-10-15,2844.7122,2844.7122,2664.981,2742.4514,62281
2008-10-16,2510.0403,2572.0166,2333.4077,2333.4077,130695
2008-10-17,2448.064,2448.064,2048.3169,2141.2812,146184
2008-10-20,2141.2812,2259.0361,2014.2299,2231.147,124241
2008-10-21,2277.6292,2441.8662,2240.4434,2249.7397,153607
2008-10-22,2200.1587,2290.0244,2048.3169,2122.6885,84548
2008-10-23,2017.3286,2057.6133,1815.9056,1899.5736,102619
2008-10-24,1893.376,1977.0441,1617.5815,1617.5815,193299
2008-10-27,1431.6526,1611.3839,1380.5221,1396.0162,245577
2008-10-28,1316.9965,1499.8265,1273.613,1457.9926,312377
2008-10-29,1546.3087,1608.285,1307.7,1392.9174,215888
2008-10-30,1493.6289,1598.9886,1490.53,1598.9886,140053
2008-10-31,1589.6921,1781.8187,1589.6921,1729.1388,185232
2008-11-03,1843.795,1961.5499,1797.3127,1952.2535,135212
2008-11-04,2060.7122,2060.7122,1921.2654,1980.1428,191040
2008-11-05,2032.8228,2228.0481,1992.5381,2060.7122,222665
2008-11-06,2014.2299,2014.2299,1766.3246,1766.3246,75835
2008-11-07,1648.5697,1887.1785,1558.704,1840.6962,67122
2008-11-10,1918.1665,1921.2654,1828.3009,1890.2772,148121
2008-11-11,1911.9689,1911.9689,1791.1151,1822.1033,68413
2008-11-12,1797.3127,1902.6725,1735.3364,1902.6725,71640
2008-11-13,1800.4116,1859.2891,1738.4353,1815.9056,65831
2008-11-14,1921.2654,1921.2654,1828.3009,1890.2772,160706
2008-11-17,1834.4985,1908.8701,1806.6093,1902.6725,97456
2008-11-18,1899.5736,1933.6606,1846.8938,1902.6725,56150
2008-11-19,1927.463,1942.957,1781.8187,1828.3009,125531
2008-11-20,1750.8306,1750.8306,1651.6685,1685.7554,146830
2008-11-21,1642.3721,1778.7198,1598.9886,1766.3246,70994
2008-11-24,1766.3246,1797.3127,1673.3601,1688.8542,135212
2008-11-25,1738.4353,1772.5222,1657.8661,1657.8661,154575
