date,open,high,low,close,volume
1980-03-17,0.0955,0.0981,0.0955,0.0955,3600000
1980-03-18,0.0955,0.0964,0.0938,0.0938,3715200
1980-03-19,0.0955,0.0981,0.0955,0.0955,2016000
1980-03-20,0.0972,0.0998,0.0972,0.0972,3657600
1980-03-21,0.1007,0.1033,0.1007,0.1007,3024000
1980-03-24,0.0981,0.0981,0.0955,0.0955,2649600
1980-03-25,0.0955,0.0955,0.0929,0.0929,4320000
1980-03-26,0.0859,0.0859,0.0833,0.0833,3312000
1980-03-27,0.0799,0.0799,0.0764,0.0764,9993600
1980-03-28,0.0851,0.0885,0.0851,0.0851,6134400
1980-03-31,0.0946,0.0981,0.0946,0.0946,6134400
1980-04-01,0.0946,0.0972,0.0938,0.0938,3542400
1980-04-02,0.0924,0.0924,0.0885,0.0885,4147200
1980-04-03,0.0911,0.0951,0.0911,0.0911,4646400
1980-04-07,0.0885,0.0885,0.0846,0.0846,940800
1980-04-08,0.0885,0.0924,0.0885,0.0885,1152000
1980-04-09,0.0885,0.0911,0.0872,0.0872,2400000
1980-04-10,0.0872,0.0911,0.0872,0.0872,1152000
1980-04-11,0.0872,0.0911,0.0872,0.0872,1056000
1980-04-14,0.0872,0.0911,0.0872,0.0872,326400
1980-04-15,0.0872,0.0898,0.0859,0.0859,1094400
1980-04-16,0.0859,0.0898,0.0859,0.0859,960000
1980-04-17,0.0859,0.0898,0.0859,0.0859,979200
1980-04-18,0.0872,0.0911,0.0872,0.0872,576000
1980-04-21,0.0872,0.0885,0.0846,0.0846,3494400
1980-04-22,0.0938,0.0977,0.0938,0.0938,4051200
1980-04-23,0.0951,0.099,0.0951,0.0951,1747200
1980-04-24,0.0977,0.1016,0.0977,0.0977,1056000
1980-04-25,0.0977,0.1003,0.0964,0.0964,2073600
1980-04-28,0.0964,0.1003,0.0964,0.0964,1075200
1980-04-29,0.0977,0.1016,0.0977,0.0977,902400
1980-04-30,0.0977,0.1016,0.0977,0.0977,96000
1980-05-01,0.0977,0.1003,0.0964,0.0964,844800
1980-05-02,0.0964,0.1003,0.0964,0.0964,1171200
1980-05-05,0.0964,0.1003,0.0964,0.0964,633600
1980-05-06,0.0964,0.1003,0.0964,0.0964,192000
1980-05-07,0.0964,0.1003,0.0964,0.0964,10272000
1980-05-08,0.0964,0.0977,0.0938,0.0938,13056000
1980-05-09,0.0938,0.0977,0.0938,0.0938,5625600
1980-05-12,0.0951,0.099,0.0951,0.0951,2841600
1980-05-13,0.0964,0.1003,0.0964,0.0964,1632000
1980-05-14,0.0977,0.1016,0.0977,0.0977,3398400
1980-05-15,0.099,0.1029,0.099,0.099,3340800
1980-05-16,0.099,0.1029,0.099,0.099,2880000
