date,open,high,low,close,volume
1984-06-01,1.4125,1.425,1.4125,1.4125,7340000
1984-06-04,1.4125,1.425,1.4125,1.4125,4067000
1984-06-05,1.4125,1.4125,1.4,1.4,2089000
1984-06-06,1.475,1.5,1.475,1.475,1894000
1984-06-07,1.6375,1.65,1.6375,1.6375,2078000
1984-06-08,1.7375,1.7625,1.7375,1.7375,2227000
1984-06-11,1.65,1.65,1.625,1.625,1219000
1984-06-12,1.625,1.625,1.6125,1.6125,670000
1984-06-13,1.6875,1.7,1.6875,1.6875,1339000
1984-06-14,1.6625,1.6625,1.6375,1.6375,680000
1984-06-15,1.6875,1.7,1.6875,1.6875,704000
1984-06-18,1.7375,1.75,1.7375,1.7375,480000
1984-06-19,1.8625,1.875,1.8625,1.8625,1581000
1984-06-20,2.0625,2.075,2.0625,2.0625,2273000
1984-06-21,2.0625,2.0625,2.0375,2.0375,2039000
1984-06-22,2.2625,2.275,2.2625,2.2625,1199000
1984-06-25,2.25,2.25,2.2375,2.2375,1579000
1984-06-26,2.3,2.3125,2.3,2.3,1040000
1984-06-27,2.25,2.25,2.2375,2.2375,1046000
1984-06-28,2.35,2.3625,2.35,2.35,563000
1984-06-29,2.5375,2.5625,2.5375,2.5375,1019000
1984-07-02,2.5,2.5,2.475,2.475,940000
1984-07-03,2.525,2.55,2.525,2.525,339000
1984-07-05,2.65,2.6625,2.65,2.65,1428000
1984-07-06,2.6375,2.6375,2.625,2.625,728000
1984-07-09,2.6,2.6,2.575,2.575,963000
1984-07-10,2.525,2.525,2.5125,2.5125,1938000
1984-07-11,2.4125,2.4125,2.4,2.4,980000
1984-07-12,2.3375,2.3375,2.3375,2.3375,1021000
1984-07-13,2.3625,2.375,2.3625,2.3625,223000
1984-07-16,2.2875,2.2875,2.2625,2.2625,473000
1984-07-17,2.3375,2.35,2.3375,2.3375,350000
1984-07-18,2.3375,2.35,2.325,2.325,150000
1984-07-19,2.1,2.1,2.0875,2.0875,761000
1984-07-20,1.9375,1.9375,1.9,1.9,723000
1984-07-23,1.9625,1.975,1.9625,1.9625,580000
1984-07-24,1.95,1.95,1.925,1.925,321000
1984-07-25,2.0625,2.0875,2.0625,2.0625,649000
1984-07-26,2.15,2.1625,2.15,2.15,674000
1984-07-27,2.1375,2.1375,2.125,2.125,330000
1984-07-30,2.125,2.1375,2.1125,2.1125,156000
1984-07-31,2.1125,2.1125,2.0875,2.0875,242000
1984-08-01,2.35,2.3625,2.35,2.35,843000
1984-08-02,2.475,2.4875,2.475,2.475,756000
1984-08-03,2.35,2.35,2.3375,2.3375,1030000
1984-08-06,2.3125,2.3125,2.2875,2.2875,1028000
1984-08-07,2.2875,2.375,2.225,2.375,628000
1984-08-08,2.375,2.4375,2.35,2.35,662000
1984-08-09,2.35,2.575,2.3375,2.5625,798000
1984-08-10,2.5875,2.7375,2.5875,2.675,1352000
1984-08-13,2.675,2.675,2.5875,2.65,801000
1984-08-14,2.65,2.675,2.55,2.575,403000
1984-08-15,2.575,2.6,2.5625,2.575,220000
1984-08-16,2.575,2.825,2.575,2.775,1096000
1984-08-17,2.775,2.7875,2.675,2.7,439000
1984-08-20,2.7,2.8,2.675,2.775,350000
1984-08-21,2.8125,3.05,2.8125,3.025,1271000
1984-08-22,3.075,3.15,3.075,3.125,2068000
1984-08-23,3.125,3.35,3.125,3.3,2025000
1984-08-24,3.3,3.4625,3.3,3.4,1916000
1984-08-27,3.4,3.4125,3.2625,3.2625,956000
1984-08-28,3.2625,3.3125,3.15,3.2875,1345000
1984-08-29,3.2875,3.325,3.15,3.2125,1546000
1984-08-30,3.2125,3.2125,3.025,3.0875,1008000
1984-08-31,3.0875,3.125,3.05,3.125,384000
1984-09-04,3.1375,3.4125,3.1375,3.3875,1132000
1984-09-05,3.3875,3.4875,3.3,3.4875,1808000
1984-09-06,3.4875,3.7625,3.4875,3.7,3009000
1984-09-07,3.7125,3.825,3.7125,3.75,2191000
1984-09-10,3.75,3.7625,3.5875,3.6625,1856000
1984-09-11,3.675,3.7875,3.675,3.75,1121000
1984-09-12,3.75,3.7625,3.6625,3.7375,1148000
1984-09-13,3.7375,3.8125,3.725,3.7625,735000
1984-09-14,3.775,4.05,3.775,4.0,2282000
1984-09-17,4.0,4.05,3.925,4.0375,842000
1984-09-18,4.0375,4.0375,3.975,4.0,778000
1984-09-19,4.0,4.0125,3.75,3.7625,1219000
1984-09-20,3.7625,3.8875,3.7,3.7875,2045000
1984-09-21,3.7875,3.875,3.775,3.825,622000
1984-09-24,3.825,3.825,3.625,3.65,1535000
1984-09-25,3.6375,3.6375,3.425,3.5625,2800000
1984-09-26,3.5625,3.5875,2.75,2.7875,9405000
1984-09-27,2.7875,2.8,2.55,2.6875,3114000
1984-09-28,2.6875,2.75,2.6375,2.6625,1056000
1984-10-01,2.6625,2.9875,2.65,2.75,1713000
1984-10-02,2.75,2.9,2.4625,2.4875,2352000
1984-10-03,2.4875,2.65,2.45,2.5375,2133000
1984-10-04,2.55,2.6375,2.55,2.6125,523000
1984-10-05,2.6125,2.825,2.6125,2.75,1567000
1984-10-08,2.75,2.8,2.7,2.775,842000
1984-10-09,2.775,2.8625,2.55,2.65,3885000
1984-10-10,2.65,2.65,2.475,2.65,1454000
1984-10-11,2.65,2.7,2.5,2.55,1131000
1984-10-12,2.5625,2.625,2.5625,2.6,380000
1984-10-15,2.6,2.7,2.575,2.675,556000
1984-10-16,2.675,2.725,2.6625,2.7,310000
1984-10-17,2.7,2.7,2.65,2.7,333000
1984-10-18,2.7,2.875,2.675,2.8625,419000
1984-10-19,2.9125,3.0125,2.9125,2.925,886000
1984-10-22,2.925,3.0125,2.9,2.9875,298000
1984-10-23,2.9875,3.0375,2.9625,3.0125,587000
1984-10-24,3.0125,3.0375,2.975,3.0,252000
1984-10-25,3.0,3.0,2.7875,2.8375,1202000
1984-10-26,2.8,2.8,2.675,2.7,523000
1984-10-29,2.7,2.725,2.675,2.7,283000
1984-10-30,2.7,2.7375,2.675,2.675,503000
1984-10-31,2.675,2.725,2.65,2.6875,560000
1984-11-01,2.6875,2.6875,2.525,2.5875,532000
1984-11-02,2.5875,2.6125,2.5,2.5375,758000
1984-11-05,2.5375,2.6125,2.4875,2.575,369000
1984-11-06,2.625,2.725,2.625,2.6875,1223000
1984-11-07,2.6875,2.6875,2.625,2.65,494000
1984-11-08,2.65,2.6625,2.625,2.6625,334000
1984-11-09,2.6625,2.7,2.65,2.675,1236000
1984-11-12,2.675,2.675,2.6375,2.675,81000
1984-11-13,2.675,2.675,2.4625,2.5,1025000
1984-11-14,2.5,2.575,2.475,2.5625,524000
1984-11-15,2.5625,2.6125,2.5375,2.6,317000
1984-11-16,2.6,2.6,2.5,2.5125,374000
1984-11-19,2.5125,2.5125,2.4375,2.4625,764000
1984-11-20,2.4625,2.5,2.4375,2.4875,400000
1984-11-21,2.4875,2.55,2.4625,2.55,251000
1984-11-23,2.5625,2.65,2.5625,2.625,456000
1984-11-26,2.625,2.6375,2.6,2.6375,181000
1984-11-27,2.6375,2.7625,2.625,2.75,602000
1984-11-28,2.775,2.8875,2.775,2.8,804000
1984-11-29,2.7875,2.7875,2.675,2.675,665000
1984-11-30,2.6875,2.8,2.6875,2.8,864000
1984-12-03,2.8,2.8375,2.7,2.725,620000
1984-12-04,2.725,2.775,2.725,2.75,154000
1984-12-05,2.75,2.775,2.7375,2.775,175000
1984-12-06,2.775,2.95,2.7625,2.9375,1383000
1984-12-07,2.9375,2.9625,2.875,2.875,296000
1984-12-10,2.875,2.875,2.7625,2.8375,977000
1984-12-11,2.8375,2.85,2.8125,2.8375,281000
1984-12-12,2.8375,2.8375,2.7875,2.825,680000
1984-12-13,2.825,2.825,2.725,2.75,1027000
1984-12-14,2.75,2.7625,2.725,2.725,996000
1984-12-17,2.725,2.775,2.725,2.75,907000
1984-12-18,2.75,2.7875,2.65,2.6625,2354000
1984-12-19,2.7,2.8375,2.7,2.7625,5255000
1984-12-20,2.75,2.75,2.6375,2.6625,1515000
1984-12-21,2.6625,2.725,2.6625,2.7125,5658000
1984-12-24,2.7125,2.7875,2.7,2.7875,800000
1984-12-26,2.8,2.8375,2.8,2.8375,705000
1984-12-27,2.825,2.825,2.7875,2.8125,2618000
1984-12-28,2.8125,2.8125,2.7125,2.75,1835000
1984-12-31,2.75,2.7625,2.7,2.725,807000
1985-01-02,2.725,2.7625,2.7,2.7125,1174000
1985-01-03,2.7125,2.7125,2.6375,2.65,632000
1985-01-04,2.65,2.65,2.5125,2.55,632000
1985-01-07,2.5125,2.5125,2.425,2.45,2348000
1985-01-08,2.425,2.425,2.25,2.2625,1680000
1985-01-09,2.25,2.25,2.0,2.1625,4255000
1985-01-10,2.1625,2.25,2.15,2.2,1155000
1985-01-11,2.2,2.225,2.15,2.1875,1275000
1985-01-14,2.1875,2.425,2.1625,2.4,1505000
1985-01-15,2.425,2.575,2.425,2.45,2465000
1985-01-16,2.45,2.4875,2.35,2.3875,882000
1985-01-17,2.3875,2.3875,2.3,2.3,594000
1985-01-18,2.3,2.35,2.225,2.325,819000
1985-01-21,2.325,2.4625,2.325,2.4625,1093000
1985-01-22,2.4875,2.5625,2.4875,2.5375,1703000
1985-01-23,2.5375,2.55,2.4875,2.5,698000
1985-01-24,2.5,2.525,2.4375,2.4375,1049000
1985-01-25,2.4375,2.4625,2.425,2.4625,267000
1985-01-28,2.4625,2.475,2.45,2.45,274000
1985-01-29,2.45,2.45,2.35,2.375,405000
1985-01-30,2.4,2.5625,2.4,2.425,6518000
1985-01-31,2.425,2.45,2.4,2.4,751000
1985-02-01,2.4,2.4,2.3375,2.3625,641000
1985-02-04,2.3625,2.3625,2.2625,2.3625,1337000
1985-02-05,2.3625,2.45,2.3625,2.4,1456000
1985-02-06,2.4,2.45,2.3875,2.3875,1280000
1985-02-07,2.3875,2.4,2.3375,2.375,1022000
1985-02-08,2.375,2.3875,2.35,2.35,1617000
1985-02-11,2.35,2.3625,2.2625,2.275,1810000
1985-02-12,2.275,2.2875,2.1375,2.2125,1732000
1985-02-13,2.2125,2.225,2.1,2.1625,2045000
1985-02-14,2.1625,2.1625,1.65,1.675,6033000
1985-02-15,1.675,1.7625,1.6625,1.7,3566000
1985-02-19,1.7,1.7125,1.425,1.4875,2845000
1985-02-20,1.4875,1.5625,1.4875,1.525,3375000
1985-02-21,1.525,1.5375,1.5125,1.5375,1003000
1985-02-22,1.5375,1.5375,1.525,1.525,253000
1985-02-25,1.525,1.525,1.175,1.2375,3868000
1985-02-26,1.2,1.2,1.0125,1.0875,6271000
1985-02-27,1.075,1.075,1.0,1.0375,2349000
1985-02-28,1.0375,1.1875,1.025,1.1625,3072000
1985-03-01,1.175,1.3375,1.175,1.3,3756000
1985-03-04,1.3,1.325,1.2,1.2625,1641000
1985-03-05,1.2625,1.3,1.2375,1.25,1116000
1985-03-06,1.25,1.25,1.125,1.175,1365000
1985-03-07,1.175,1.175,1.1375,1.1625,341000
1985-03-08,1.1625,1.175,1.1125,1.1375,481000
1985-03-11,1.1375,1.15,1.1,1.1375,489000
1985-03-12,1.125,1.125,1.1,1.1125,545000
1985-03-13,1.1125,1.1125,1.0,1.05,585000
1985-03-14,1.05,1.075,1.025,1.05,571000
1985-03-15,1.05,1.1125,1.05,1.0875,1407000
1985-03-18,1.1125,1.325,1.1125,1.3125,2602000
1985-03-19,1.3125,1.375,1.2125,1.2125,3283000
1985-03-20,1.2125,1.225,1.1,1.125,1638000
1985-03-21,1.125,1.1625,1.1,1.1625,1046000
1985-03-22,1.1625,1.175,1.1,1.1,738000
1985-03-25,1.1,1.225,1.1,1.2,1606000
1985-03-26,1.225,1.325,1.225,1.2375,3306000
1985-03-27,1.2375,1.2625,1.2,1.225,2289000
1985-03-28,1.225,1.225,1.175,1.1875,348000
1985-03-29,1.1875,1.2,1.1375,1.15,1205000
1985-04-01,1.15,1.175,1.0625,1.075,1886000
1985-04-02,1.075,1.1125,1.075,1.0875,1283000
1985-04-03,1.0875,1.1875,1.0875,1.175,6302000
1985-04-04,1.175,1.2375,1.175,1.2125,4288000
1985-04-08,1.2125,1.25,1.1625,1.2,1910000
1985-04-09,1.1875,1.1875,1.1,1.1125,1664000
1985-04-10,1.1125,1.175,1.1,1.175,3294000
1985-04-11,1.175,1.225,1.15,1.1875,5792000
1985-04-12,1.1875,1.1875,1.15,1.175,805000
1985-04-15,1.175,1.1875,1.1625,1.1875,556000
1985-04-16,1.1875,1.2375,1.1875,1.2,958000
1985-04-17,1.2,1.3125,1.2,1.3,2504000
1985-04-18,1.3125,1.3875,1.3125,1.3625,6597000
1985-04-19,1.3625,1.4375,1.3,1.425,4438000
1985-04-22,1.425,1.425,1.375,1.4,2446000
1985-04-23,1.4,1.45,1.375,1.4375,1284000
1985-04-24,1.4375,1.45,1.35,1.3875,1690000
1985-04-25,1.3875,1.3875,1.275,1.3,3726000
1985-04-26,1.3,1.325,1.1,1.125,4424000
1985-04-29,1.1,1.1,1.025,1.1,2563000
1985-04-30,1.1,1.1125,1.05,1.075,1749000
1985-05-01,1.075,1.075,1.025,1.0375,767000
1985-05-02,1.0375,1.0625,1.025,1.0375,611000
1985-05-03,1.0375,1.0375,1.0125,1.025,731000
1985-05-06,1.025,1.025,0.875,0.9125,2906000
1985-05-07,0.9125,0.9125,0.8625,0.875,1339000
1985-05-08,0.8625,0.8625,0.775,0.85,4090000
1985-05-09,0.85,0.8875,0.8375,0.875,1479000
1985-05-10,0.875,0.9875,0.875,0.975,2933000
1985-05-13,0.975,0.9875,0.925,0.925,796000
1985-05-14,0.925,0.95,0.8375,0.85,1757000
1985-05-15,0.85,0.8625,0.825,0.85,1428000
1985-05-16,0.85,0.85,0.825,0.85,503000
1985-05-17,0.85,0.95,0.8375,0.95,3623000
1985-05-20,0.95,0.9875,0.9375,0.9375,2125000
1985-05-21,0.9375,0.95,0.875,0.9,973000
1985-05-22,0.9,0.9,0.875,0.9,474000
1985-05-23,0.9,0.9375,0.9,0.9125,788000
1985-05-24,0.9125,0.9375,0.9125,0.925,675000
1985-05-28,0.925,0.9375,0.8875,0.8875,749000
1985-05-29,0.8875,0.8875,0.85,0.8625,569000
1985-05-30,0.8625,0.8625,0.8125,0.825,1486000
1985-05-31,0.825,0.8375,0.8,0.825,925000
1985-06-03,0.8125,0.8125,0.75,0.775,1673000
