date,open,high,low,close,volume
1994-12-08,3.7083,3.7292,3.7083,3.7083,41167800
1994-12-09,3.7083,3.7083,3.6458,3.6667,2685000
1994-12-12,3.6667,3.7083,3.6667,3.7083,928200
1994-12-13,3.7083,3.7083,3.625,3.625,992400
1994-12-14,3.625,3.625,3.6042,3.625,700800
1994-12-15,3.6042,3.625,3.6042,3.6042,1671600
1994-12-16,3.625,3.6458,3.6042,3.6458,1111800
1994-12-19,3.6458,3.6458,3.6042,3.625,284400
1994-12-20,3.625,3.6458,3.625,3.6458,930000
1994-12-21,3.625,3.6875,3.625,3.6667,264000
1994-12-22,3.6667,3.6667,3.6458,3.6667,294000
1994-12-23,3.6667,3.6667,3.6458,3.6667,67800
1994-12-27,3.7083,3.7292,3.6875,3.7292,1027200
1994-12-28,3.7292,3.7292,3.7083,3.7083,486000
1994-12-29,3.7292,3.7292,3.7083,3.7292,39000
1994-12-30,3.7292,3.7917,3.7083,3.7917,258000
1995-01-03,3.7917,3.8958,3.75,3.8958,1914000
1995-01-04,3.9583,4.125,3.9583,4.0417,1012800
1995-01-05,4.0417,4.0833,4.0417,4.0833,981000
1995-01-06,4.0833,4.1458,4.0833,4.125,261600
1995-01-09,4.25,4.375,4.2292,4.375,660000
1995-01-10,4.4583,4.4583,4.375,4.3958,618000
1995-01-11,4.4167,4.4792,4.2917,4.2917,2096400
1995-01-12,4.25,4.3125,4.25,4.2917,468600
1995-01-13,4.2917,4.2917,4.2292,4.2708,472200
1995-01-16,4.3333,4.3958,4.3125,4.3958,241800
1995-01-17,4.4167,4.4167,4.3125,4.4167,910200
1995-01-18,4.4375,4.4583,4.4167,4.4375,222000
1995-01-19,4.4583,4.4583,4.375,4.375,1236000
1995-01-20,4.375,4.375,4.25,4.25,768600
1995-01-23,4.125,4.125,4.0833,4.1042,258000
1995-01-24,4.1458,4.1875,4.125,4.1875,28800
1995-01-25,4.1667,4.2292,4.1667,4.2292,58200
1995-01-26,4.2083,4.2083,4.1458,4.2083,483000
1995-01-27,4.1875,4.2292,4.1875,4.2292,237600
1995-01-30,4.1875,4.2083,4.1667,4.2083,65400
1995-01-31,4.2083,4.2083,4.1458,4.1458,870600
1995-02-01,4.1667,4.2083,4.1667,4.1875,174600
1995-02-02,4.1875,4.1875,4.1667,4.1875,211200
1995-02-03,4.1667,4.2292,4.1667,4.2083,324000
1995-02-06,4.2292,4.2708,4.2083,4.2083,226200
1995-02-07,4.2292,4.2708,4.1458,4.1875,429000
1995-02-08,4.2083,4.2292,4.1667,4.2292,257400
1995-02-09,4.2708,4.2917,4.25,4.2708,664800
1995-02-10,4.25,4.3958,4.25,4.375,356400
1995-02-13,4.3958,4.3958,4.3542,4.3542,871800
1995-02-14,4.3542,4.3542,4.2917,4.2917,355800
1995-02-15,4.2917,4.2917,4.25,4.25,90600
1995-02-16,4.25,4.25,4.2083,4.2083,2152200
1995-02-17,4.2292,4.25,4.2292,4.25,20400
1995-02-21,4.2917,4.2917,4.2083,4.2292,36600
1995-02-22,4.2083,4.2292,4.1875,4.2292,67200
1995-02-23,4.2292,4.25,4.2083,4.2292,418200
