date,open,high,low,close,volume
1997-10-09,5.646,6.5627,5.646,6.3236,10201979
1997-10-10,7.0144,7.0409,6.3634,6.6158,10669148
1997-10-13,6.6291,6.6291,6.4431,6.4697,3044363
1997-10-14,6.4166,6.4298,6.0313,6.204,2549907
1997-10-15,5.8187,6.0446,5.8055,6.0313,3167153
1997-10-16,6.0313,6.0313,5.8187,5.8453,1770821
1997-10-17,5.5796,5.5929,5.3272,5.3405,3287121
1997-10-20,4.4637,4.7825,4.4504,4.6762,11499985
1997-10-21,4.8888,5.3405,4.8622,5.3405,6924737
1997-10-22,4.9154,4.9287,4.7028,4.7161,4458573
1997-10-23,4.57,4.57,4.2511,4.4371,12494072
1997-10-24,4.5434,4.57,4.0917,4.198,9498638
1997-10-27,4.0917,4.0917,3.6267,3.64,4905042
1997-10-28,3.3478,4.4637,3.3212,4.4637,10417921
1997-10-29,4.0917,4.2113,4.0386,4.0519,7548100
1997-10-30,3.826,3.9854,3.8127,3.9456,2797370
1997-10-31,4.0917,4.291,4.0784,4.198,3611270
1997-11-03,4.57,4.8888,4.57,4.8224,6205871
1997-11-04,4.7825,4.8755,4.6895,4.8224,3145042
1997-11-05,4.9154,5.2475,4.9154,5.2076,3979642
1997-11-06,5.3936,5.4202,5.1279,5.1811,3649848
1997-11-07,4.8091,5.0881,4.7825,5.0615,4470805
1997-11-10,5.2608,5.2874,5.0748,5.0881,2435114
1997-11-11,4.9951,5.0748,4.9685,4.9818,2194707
1997-11-12,4.8224,4.8224,4.6895,4.7028,3905309
1997-11-13,4.756,4.9287,4.5965,4.663,2482160
1997-11-14,4.756,4.8224,4.5965,4.663,2205999
1997-11-17,4.9818,4.9951,4.8888,4.9951,3290415
1997-11-18,4.8357,4.8357,4.6497,4.6762,2240813
1997-11-19,4.6231,4.6231,4.4903,4.5434,1442908
1997-11-20,4.4504,4.5168,4.4238,4.4371,2578134
1997-11-21,4.4637,4.663,4.4637,4.663,4223342
1997-11-24,4.4371,4.57,4.4371,4.5567,2254927
1997-11-25,4.5833,4.7427,4.5833,4.6762,1083946
1997-11-26,4.6231,4.6364,4.5434,4.5965,1136637
1997-11-28,4.6762,4.6762,4.663,4.6762,1083475
1997-12-01,4.4637,4.4637,4.3973,4.4637,2365485
1997-12-02,4.5035,4.5434,4.4504,4.4637,2203176
1997-12-03,4.5434,4.5434,4.4238,4.4903,2783727
1997-12-04,4.7028,4.7427,4.6762,4.6762,2721625
1997-12-05,4.6762,4.7294,4.6497,4.6895,1796226
1997-12-08,4.8622,4.9951,4.8622,4.8888,2020166
1997-12-09,4.7825,4.7825,4.6762,4.6762,1487132
1997-12-10,4.7427,4.7427,4.4637,4.477,1393980
1997-12-11,4.2777,4.291,4.2113,4.2777,3128576
1997-12-12,4.2644,4.3308,4.2379,4.2379,2271863
1997-12-15,4.2113,4.2113,3.8792,3.8792,5162855
1997-12-16,3.8792,4.0651,3.8526,3.9987,3736884
1997-12-17,4.012,4.0519,3.8526,3.8659,3310174
1997-12-18,3.8393,3.8393,3.7197,3.7197,1023256
1997-12-19,3.6932,3.9987,3.6666,3.9456,3056124
1997-12-22,3.919,3.9854,3.8659,3.9057,1266485
1997-12-23,3.8393,3.8393,3.7729,3.7862,813430
1997-12-24,3.7862,3.8393,3.7596,3.7729,742860
1997-12-26,3.7729,3.8393,3.7729,3.826,292628
1997-12-29,3.8792,3.9057,3.8393,3.8526,951275
1997-12-30,3.8792,3.9854,3.8792,3.9854,1465491
1997-12-31,3.9854,3.9854,3.826,3.8659,917402
1998-01-02,3.8526,3.919,3.8393,3.919,568789
1998-01-05,3.919,3.9456,3.8393,3.9057,1749650
1998-01-06,3.8659,3.8659,3.8127,3.826,1504069
1998-01-07,3.7463,3.7463,3.454,3.454,1337054
1998-01-08,3.4009,3.4142,3.2946,3.2946,4584186
1998-01-09,3.2946,3.3079,3.0821,3.0954,5332692
1998-01-12,3.0289,3.2415,2.8429,3.2016,3469190
1998-01-13,3.3345,3.6002,3.3212,3.5736,2123668
1998-01-14,3.7862,3.7862,3.547,3.64,2803486
1998-01-15,3.6135,3.64,3.5338,3.5869,1833863
1998-01-16,3.733,3.733,3.6932,3.7065,2319380
1998-01-20,3.7995,3.9722,3.7995,3.919,3270655
1998-01-21,3.9057,4.012,3.8924,3.9987,2871233
1998-01-22,3.9987,4.1183,3.9323,4.105,1798578
1998-01-23,4.2113,4.2246,4.1183,4.198,1195445
1998-01-26,4.4903,4.5168,4.3973,4.5168,3288062
1998-01-27,4.5434,4.6762,4.5301,4.6497,2171655
1998-01-28,4.6762,4.8888,4.6762,4.8888,3175151
1998-01-29,4.8888,4.8888,4.6762,4.6762,3233489
1998-01-30,4.7294,5.0748,4.7161,5.0482,4949265
1998-02-02,5.1279,5.2608,5.1146,5.2076,2354194
1998-02-03,5.4202,5.5663,5.3538,5.553,5174617
1998-02-04,5.4733,5.4733,5.1811,5.2475,2420059
1998-02-05,5.4733,5.5265,5.2741,5.2874,1634387
1998-02-06,5.2475,5.2874,5.1146,5.2608,1084886
1998-02-09,5.2608,5.2874,5.0615,5.0748,1854563
1998-02-10,5.1545,5.3006,5.1412,5.2342,1728950
1998-02-11,5.4069,5.4069,5.2874,5.3936,3018958
1998-02-12,5.5132,5.6328,5.4866,5.6328,3442374
1998-02-13,5.553,5.553,5.4733,5.4999,1759530
1998-02-17,5.7125,5.7656,5.6726,5.6992,2100145
1998-02-18,5.7125,5.8055,5.6992,5.7922,1625918
1998-02-19,5.925,5.925,5.8719,5.925,1120642
1998-02-20,5.9516,5.9516,5.7523,5.7656,1716718
1998-02-23,5.739,5.7656,5.6062,5.6328,1026549
1998-02-24,5.6859,5.7922,5.646,5.7523,2524972
1998-02-25,5.8453,6.2571,5.832,6.1774,3695012
1998-02-26,6.4564,6.4564,6.297,6.3236,1549703
1998-02-27,6.2439,6.2439,6.0313,6.0977,980914
1998-03-02,6.0977,6.111,5.9914,5.9914,777204
1998-03-03,5.925,6.0047,5.8187,5.9383,2350431
1998-03-04,5.6859,5.739,5.6328,5.646,1772232
1998-03-05,5.3006,5.3139,5.1146,5.1279,2942272
1998-03-06,5.3272,5.6992,5.3272,5.6062,2974264
1998-03-09,5.3671,5.5132,5.3139,5.4468,866592
1998-03-10,5.4733,5.5663,5.4733,5.5663,1178038
1998-03-11,5.7922,5.8453,5.7789,5.7922,1091002
1998-03-12,5.7922,5.7922,5.6328,5.7125,471874
1998-03-13,5.7656,5.7789,5.6593,5.7125,891056
1998-03-16,5.7922,5.7922,5.6859,5.6859,1242491
1998-03-17,5.6992,5.6992,5.4468,5.4601,2250222
1998-03-18,5.3936,5.3936,5.3272,5.3405,2122256
1998-03-19,5.3936,5.4999,5.3936,5.4733,1310238
1998-03-20,5.4866,5.5265,5.4335,5.4601,1988174
1998-03-23,5.3006,5.3405,5.2874,5.3139,727335
1998-03-24,5.4202,5.5265,5.4202,5.4999,931045
1998-03-25,5.739,5.7922,5.6859,5.739,2439818
1998-03-26,5.6859,5.7125,5.6593,5.6992,907522
1998-03-27,5.739,5.7656,5.6593,5.6859,705694
1998-03-30,5.6593,5.6726,5.553,5.5929,666175
1998-03-31,5.5929,5.5929,5.4866,5.4999,3265951
1998-04-01,5.4733,5.4733,5.4069,5.4601,1167217
1998-04-02,5.4468,5.4601,5.3272,5.4468,1446672
1998-04-03,5.4468,5.4468,5.3671,5.3936,600310
1998-04-06,5.4069,5.4468,5.3803,5.3803,330735
1998-04-07,5.3139,5.3139,5.2076,5.2076,1165336
1998-04-08,5.2475,5.3139,5.2475,5.2608,1172863
1998-04-09,5.1545,5.2608,5.1545,5.2209,829425
1998-04-13,5.1146,5.1146,4.9419,4.9818,1350227
1998-04-14,4.9552,5.0748,4.9154,5.0748,1475370
1998-04-15,5.1146,5.1545,5.0748,5.1279,1158749
1998-04-16,5.0349,5.0349,4.9154,4.9685,1011494
1998-04-17,4.8622,4.8755,4.8091,4.8357,1130521
1998-04-20,4.8224,4.8357,4.7294,4.8091,1067950
1998-04-21,4.8622,5.0217,4.8622,4.9951,1178979
1998-04-22,5.1014,5.2874,5.0349,5.2741,2119904
1998-04-23,5.1811,5.2209,5.1545,5.1678,2294916
