date,open,high,low,close,volume
2010-09-09,102.5,102.5,101.14,101.32,26500
2010-09-10,101.68,101.86,101.3,101.78,8600
2010-09-13,102.96,103.14,102.5,103.06,33750
2010-09-14,102.84,103.48,102.38,103.04,59400
2010-09-15,102.62,103.38,102.4,103.3,9250
2010-09-16,103.02,103.32,102.7,103.26,59550
2010-09-17,103.88,103.88,103.02,103.36,49350
2010-09-20,103.74,105.04,103.46,105.04,19000
2010-09-21,105.02,105.44,104.28,104.72,19250
2010-09-22,104.56,105.04,103.96,104.16,18100
2010-09-23,103.32,104.34,103.12,103.3,33350
2010-09-24,103.94,104.9,103.86,104.84,24100
2010-09-27,104.98,104.98,104.34,104.34,15000
2010-09-28,104.32,105.02,103.42,105.02,49850
2010-09-29,104.58,104.92,104.22,104.52,15900
2010-09-30,105.2,105.68,103.96,104.36,44750
2010-10-01,105.08,105.16,104.16,104.72,17100
2010-10-04,105.26,105.26,103.5,103.84,88700
2010-10-05,105.02,106.2,104.82,106.12,19850
2010-10-06,106.12,106.28,105.62,105.94,276900
2010-10-07,106.5,106.5,105.32,105.88,49900
2010-10-08,106.02,106.74,105.66,106.68,61550
2010-10-11,106.72,106.84,106.28,106.5,14200
2010-10-12,106.38,107.24,105.74,107.12,42050
2010-10-13,107.58,108.28,107.24,107.76,74450
2010-10-14,107.7,107.82,106.8,107.36,19100
2010-10-15,108.04,108.08,106.72,107.56,54950
2010-10-18,107.62,108.44,107.44,108.34,22850
2010-10-19,107.14,107.68,106.02,106.62,38550
2010-10-20,106.94,108.16,106.94,107.76,22800
2010-10-21,108.26,108.76,107.3,107.92,29400
2010-10-22,108.16,108.2,107.94,108.18,24850
2010-10-25,109.02,109.28,108.46,108.5,29600
2010-10-26,107.92,108.56,107.88,108.48,15000
2010-10-27,107.74,108.22,107.22,108.14,17150
2010-10-28,108.76,108.82,107.76,108.22,19250
2010-10-29,108.1,108.42,108.0,108.3,13400
2010-11-01,108.92,109.42,107.76,108.36,51550
2010-11-02,109.22,109.42,108.86,109.2,26100
2010-11-03,109.42,109.66,108.32,109.66,31850
2010-11-04,110.9,111.8,110.74,111.72,49000
2010-11-05,111.9,112.3,111.68,112.16,48300
2010-11-08,111.88,112.08,111.5,112.02,43400
2010-11-09,112.18,112.3,110.8,111.14,35700
2010-11-10,111.16,111.6,110.32,111.56,28200
2010-11-11,110.68,111.28,110.42,111.2,24000
2010-11-12,110.4,110.86,109.38,109.82,39450
2010-11-15,110.3,110.52,109.64,109.72,202750
2010-11-16,109.02,109.02,107.48,107.96,32850
2010-11-17,108.06,108.46,107.78,108.04,42450
2010-11-18,109.08,109.92,109.08,109.64,26100
2010-11-19,109.5,109.94,109.04,109.9,20250
2010-11-22,109.42,109.8,108.58,109.8,25350
2010-11-23,108.56,108.64,107.92,108.26,142400
2010-11-24,108.94,109.78,108.94,109.66,30100
2010-11-26,108.96,109.4,108.82,109.04,32650
2010-11-29,108.36,109.16,107.66,108.94,46000
2010-11-30,107.96,108.86,107.82,108.18,91950
2010-12-01,109.92,110.74,109.88,110.62,33350
2010-12-02,110.74,112.1,110.74,112.06,60650
2010-12-03,111.66,112.46,111.64,112.34,184100
2010-12-06,112.16,112.42,112.0,112.2,64150
2010-12-07,113.34,113.38,112.2,112.24,109000
2010-12-08,112.4,112.74,111.96,112.7,69050
2010-12-09,113.34,113.34,112.66,113.12,54850
2010-12-10,113.48,113.88,113.22,113.8,73950
2010-12-13,114.32,114.44,113.82,113.86,77050
2010-12-14,114.12,114.36,113.66,113.92,59650
2010-12-15,113.74,114.2,113.24,113.42,43600
2010-12-16,113.56,114.16,113.12,114.08,60600
2010-12-17,114.0,114.34,113.82,114.24,59150
2010-12-20,114.58,114.74,113.96,114.48,72600
2010-12-21,114.86,115.3,114.78,115.18,76200
2010-12-22,115.34,115.6,115.24,115.6,108250
2010-12-23,115.44,115.52,115.16,115.42,57400
2010-12-27,114.46,115.02,114.4,114.98,71800
2010-12-28,115.22,115.22,114.8,115.1,56650
2010-12-29,115.32,115.44,115.2,115.2,53600
2010-12-30,115.12,115.26,114.88,115.02,78900
2010-12-31,114.86,115.14,114.68,115.14,145750
2011-01-03,115.94,116.66,115.9,116.22,119200
2011-01-04,116.56,116.56,115.5,116.12,108350
2011-01-05,115.86,116.8,115.72,116.74,717750
2011-01-06,116.84,116.92,116.22,116.54,72450
2011-01-07,116.7,116.86,115.48,116.3,82250
2011-01-10,115.88,116.28,115.48,116.2,124500
2011-01-11,116.66,116.84,116.12,116.58,131700
2011-01-12,117.32,117.72,117.1,117.62,107350
2011-01-13,117.68,117.74,117.16,117.46,96050
2011-01-14,117.3,118.34,117.26,118.3,193400
2011-01-18,118.26,118.58,118.04,118.5,194900
2011-01-19,118.44,118.5,117.02,117.32,111950
2011-01-20,117.08,117.38,116.32,117.18,103450
2011-01-21,117.9,118.14,117.32,117.44,117950
2011-01-24,117.4,118.2,117.38,118.16,455900
2011-01-25,117.8,118.2,117.2,118.12,226550
2011-01-26,118.44,118.94,118.24,118.74,109250
2011-01-27,118.68,119.1,118.48,118.9,297250
2011-01-28,119.08,119.22,116.68,116.8,891400
2011-01-31,117.22,117.8,116.94,117.7,140550
2011-02-01,118.48,119.78,118.38,119.54,147400
2011-02-02,119.24,119.66,119.24,119.34,91000
2011-02-03,119.2,119.8,118.5,119.64,72250
2011-02-04,119.7,120.02,119.14,119.96,97050
2011-02-07,120.3,121.12,120.26,120.72,118050
2011-02-08,120.88,121.3,120.6,121.28,153500
2011-02-09,120.98,121.28,120.46,120.98,139650
2011-02-10,120.4,121.16,120.16,121.02,125200
2011-02-11,120.6,121.92,120.56,121.78,149200
2011-02-14,121.72,122.14,121.58,122.08,92200
2011-02-15,121.72,121.86,121.38,121.64,82150
2011-02-16,122.1,122.6,121.98,122.42,94300
2011-02-17,122.06,122.96,121.96,122.88,158250
2011-02-18,122.96,123.22,122.68,123.08,120800
2011-02-22,121.68,122.38,120.24,120.56,288400
2011-02-23,120.5,120.76,119.1,119.88,276000
2011-02-24,119.66,120.16,118.66,119.76,241300
2011-02-25,120.34,121.12,120.2,121.06,106350
2011-02-28,121.54,121.94,121.16,121.78,208350
2011-03-01,122.28,122.3,119.7,119.7,235350
2011-03-02,119.62,120.56,119.5,120.04,176350
2011-03-03,121.08,122.24,121.08,122.1,136450
2011-03-04,122.06,122.06,120.4,121.2,168250
2011-03-07,121.6,121.74,119.6,120.14,155200
2011-03-08,120.42,121.62,119.96,121.26,106350
2011-03-09,121.06,121.38,120.5,121.12,116450
2011-03-10,119.88,119.88,118.76,118.9,267850
2011-03-11,118.4,120.14,118.4,119.7,134350
2011-03-14,118.96,119.26,118.06,119.0,146100
2011-03-15,115.82,118.24,115.62,117.68,346800
2011-03-16,117.26,117.56,114.64,115.44,339900
2011-03-17,117.14,117.4,116.24,116.88,176200
2011-03-18,118.4,118.4,117.14,117.38,127700
2011-03-21,118.84,119.38,118.68,119.16,136100
2011-03-22,119.18,119.3,118.7,118.74,137800
2011-03-23,118.52,119.42,117.94,119.12,204150
2011-03-24,119.82,120.38,119.2,120.24,110800
2011-03-25,120.02,120.58,119.78,120.06,134300
2011-03-28,120.38,120.64,119.76,119.8,166150
2011-03-29,119.7,120.62,119.3,120.58,110950
2011-03-30,121.24,121.74,121.12,121.4,105550
2011-03-31,121.3,121.56,121.1,121.24,127500
2011-04-01,122.12,122.34,121.5,121.8,70400
2011-04-04,122.1,122.26,121.52,121.86,78800
2011-04-05,121.56,122.32,121.56,121.86,204950
2011-04-06,122.48,122.5,121.78,122.22,142900
2011-04-07,122.06,122.5,121.36,122.0,107150
2011-04-08,122.5,122.52,121.02,121.54,86850
2011-04-11,121.68,122.02,120.92,121.12,139650
2011-04-12,120.5,120.6,119.8,120.24,104800
2011-04-13,120.84,120.9,119.8,120.28,185100
2011-04-14,119.58,120.5,119.16,120.3,78450
2011-04-15,120.5,121.04,120.22,120.72,79700
2011-04-18,119.3,119.6,118.44,119.4,151650
2011-04-19,119.62,120.14,119.32,120.14,78900
2011-04-20,121.58,121.98,121.48,121.76,173250
2011-04-21,122.38,122.38,121.94,122.3,197850
2011-04-25,122.32,122.4,121.82,122.18,99000
2011-04-26,122.62,123.5,122.52,123.24,85050
2011-04-27,123.56,124.24,123.0,124.04,72850
2011-04-28,123.9,124.6,123.86,124.44,66050
2011-04-29,124.5,124.88,124.42,124.8,99000
2011-05-02,125.44,125.44,124.32,124.52,131000
2011-05-03,124.36,124.52,123.5,124.12,66500
2011-05-04,124.1,124.1,122.78,123.28,107000
2011-05-05,122.62,123.36,121.64,122.2,98950
2011-05-06,123.48,124.0,122.28,122.78,138550
2011-05-09,122.8,123.58,122.58,123.28,66000
2011-05-10,123.66,124.48,123.52,124.3,175550
2011-05-11,124.12,124.12,122.42,122.98,174400
2011-05-12,122.68,123.74,122.02,123.64,113500
2011-05-13,123.62,123.7,122.2,122.56,126400
2011-05-16,122.2,123.02,121.62,121.8,113500
2011-05-17,121.36,121.86,120.92,121.78,142400
2011-05-18,121.9,122.98,121.68,122.92,70550
2011-05-19,123.34,123.46,122.64,123.08,266650
2011-05-20,122.86,123.0,122.0,122.26,95450
2011-05-23,120.7,121.16,120.4,120.8,136200
2011-05-24,121.16,121.36,120.52,120.7,89650
2011-05-25,120.16,121.5,120.16,121.1,62300
2011-05-26,120.78,121.8,120.54,121.58,60450
2011-05-27,121.98,122.4,121.86,122.12,47600
2011-05-31,123.3,123.36,122.42,123.34,172500
2011-06-01,123.04,123.04,120.54,120.6,222000
2011-06-02,120.7,120.92,119.82,120.46,211800
2011-06-03,119.0,120.18,119.0,119.3,148450
2011-06-06,119.06,119.18,117.94,118.04,113250
2011-06-07,118.52,118.94,117.86,117.88,203700
2011-06-08,117.7,118.08,117.26,117.4,87600
2011-06-09,117.78,118.78,117.46,118.3,43350
2011-06-10,117.84,117.86,116.4,116.64,106750
2011-06-13,116.9,117.22,116.18,116.72,77900
2011-06-14,117.82,118.66,117.82,118.22,75400
2011-06-15,117.28,117.56,115.9,116.16,79700
2011-06-16,116.2,116.9,115.54,116.38,66050
2011-06-17,117.48,117.5,116.38,116.7,58800
2011-06-20,116.34,117.56,116.32,117.36,53700
2011-06-21,117.94,119.16,117.84,118.96,132450
2011-06-22,118.66,119.26,118.2,118.26,106050
2011-06-23,116.84,117.9,116.0,117.86,260750
2011-06-24,117.32,117.36,115.8,116.0,114500
2011-06-27,116.08,117.42,115.82,116.98,77850
2011-06-28,117.48,118.52,117.36,118.48,59500
2011-06-29,119.1,119.7,118.66,119.54,125350
2011-06-30,119.94,120.84,119.82,120.68,124850
2011-07-01,120.74,122.6,120.54,122.5,139550
2011-07-05,122.4,122.6,122.0,122.3,91850
2011-07-06,122.08,122.64,121.76,122.48,94850
2011-07-07,123.58,124.1,123.38,123.82,195400
2011-07-08,122.4,122.98,122.02,122.98,105600
2011-07-11,121.44,121.84,120.44,120.7,92750
2011-07-12,120.46,121.42,120.16,120.16,132400
2011-07-13,120.82,121.82,120.32,120.58,129700
2011-07-14,120.92,121.38,119.52,119.8,55900
2011-07-15,120.46,120.58,119.64,120.46,40350
2011-07-18,119.94,120.02,118.56,119.44,94000
2011-07-19,120.14,121.48,120.08,121.38,233300
2011-07-20,121.76,121.78,121.16,121.38,90750
2011-07-21,122.0,123.24,121.78,123.0,234250
2011-07-22,123.0,123.2,122.4,123.1,90250
2011-07-25,121.88,123.0,121.8,122.4,183650
2011-07-26,122.32,122.5,121.68,121.88,138850
2011-07-27,121.2,121.24,119.3,119.46,470300
2011-07-28,119.42,120.48,118.96,119.12,169150
2011-07-29,117.96,119.36,117.44,118.2,194600
2011-08-01,119.78,119.82,116.68,117.78,435950
2011-08-02,116.96,117.5,114.78,114.84,258400
2011-08-03,114.96,115.54,112.98,115.42,380550
2011-08-04,113.88,113.96,109.84,110.02,504200
2011-08-05,111.38,111.66,106.94,109.78,538450
2011-08-08,106.02,108.24,102.54,102.74,790300
2011-08-09,104.4,107.4,100.92,107.34,579800
2011-08-10,105.46,106.3,102.48,102.68,403100
2011-08-11,103.72,108.7,103.26,107.18,919300
2011-08-12,108.48,109.0,107.32,108.04,307200
2011-08-15,109.1,110.4,108.86,110.26,225950
2011-08-16,109.22,110.36,108.24,109.32,263800
2011-08-17,110.0,110.8,108.6,109.44,160550
2011-08-18,106.58,106.7,103.74,104.9,524000
2011-08-19,103.36,105.82,102.84,102.9,1438400
2011-08-22,105.32,105.38,102.78,102.98,246400
2011-08-23,103.52,106.58,103.0,106.54,301950
2011-08-24,106.32,108.08,106.06,108.0,151000
2011-08-25,108.72,109.18,105.62,106.38,294150
2011-08-26,105.66,108.28,104.02,107.78,197500
2011-08-29,109.34,110.96,109.24,110.92,159000
2011-08-30,110.5,111.92,109.66,111.12,129900
2011-08-31,111.98,112.9,110.92,111.68,214950
2011-09-01,111.74,112.8,110.54,110.6,274900
2011-09-02,108.32,108.84,107.4,107.74,150350
2011-09-06,104.72,107.14,104.64,107.0,197950
2011-09-07,108.72,110.04,108.3,110.02,199700
2011-09-08,109.34,110.58,108.68,108.86,115650
2011-09-09,107.66,107.94,105.44,106.0,174200
2011-09-12,104.7,106.76,104.36,106.76,161350
2011-09-13,107.1,108.06,106.38,107.64,193500
2011-09-14,108.26,110.46,106.76,109.16,459000
2011-09-15,110.34,111.1,109.42,111.04,128700
2011-09-16,111.44,112.06,110.7,111.7,79000
2011-09-19,109.86,111.1,109.18,110.66,82150
2011-09-20,111.12,112.14,110.44,110.48,154550
2011-09-21,110.6,110.86,107.14,107.14,139000
2011-09-22,104.2,105.0,102.38,103.78,420500
2011-09-23,102.6,104.32,102.46,103.68,329200
2011-09-26,104.72,106.34,103.32,106.2,193850
2011-09-27,108.44,109.28,106.86,107.42,617550
2011-09-28,107.7,108.24,105.08,105.28,197300
2011-09-29,107.06,107.46,104.16,106.04,119300
2011-09-30,104.56,105.48,103.38,103.52,183300
2011-10-03,102.82,104.08,100.34,100.34,333100
2011-10-04,99.14,102.82,98.24,102.54,285650
2011-10-05,102.88,104.82,102.0,104.58,281000
2011-10-06,104.52,106.62,103.76,106.6,583800
2011-10-07,107.16,107.16,105.18,105.78,627150
2011-10-10,107.74,109.36,107.66,109.36,168200
2011-10-11,108.76,109.72,108.6,109.32,663200
2011-10-12,110.28,111.6,110.0,110.32,509150
2011-10-13,109.7,110.44,108.9,110.16,364000
2011-10-14,111.5,112.06,110.92,111.98,423450
2011-10-17,111.48,111.6,109.64,109.88,309650
2011-10-18,109.84,112.84,109.0,112.08,259100
2011-10-19,111.84,112.48,110.4,110.68,107900
2011-10-20,111.0,111.48,109.6,111.18,68200
2011-10-21,112.5,113.42,112.24,113.32,87200
2011-10-24,113.56,114.96,113.44,114.76,138550
2011-10-25,114.18,114.18,112.24,112.54,102400
2011-10-26,113.76,114.06,111.8,113.62,1922200
2011-10-27,116.78,118.3,115.8,117.54,309200
2011-10-28,117.04,117.78,116.88,117.66,693650
2011-10-31,116.26,116.34,114.64,114.64,153450
2011-11-01,111.54,112.9,111.16,111.6,307150
2011-11-02,113.26,113.76,112.32,113.36,122650
2011-11-03,114.64,115.68,113.04,115.46,173650
2011-11-04,114.46,114.9,113.42,114.8,147450
2011-11-07,114.64,115.52,113.64,115.46,79500
2011-11-08,116.1,117.02,115.02,116.84,135700
2011-11-09,114.24,114.72,112.4,112.62,246850
2011-11-10,114.1,114.2,112.62,113.64,121800
2011-11-11,115.04,116.1,115.02,115.86,132650
2011-11-14,115.42,115.48,114.22,114.74,359550
2011-11-15,114.52,115.92,114.12,115.34,402200
2011-11-16,114.2,115.46,113.32,113.48,91900
2011-11-17,113.26,113.54,110.92,111.66,989950
2011-11-18,112.02,112.18,111.1,111.5,188150
2011-11-21,109.9,110.06,108.48,109.5,236700
2011-11-22,109.2,109.8,108.38,108.92,263300
2011-11-23,108.0,108.02,106.6,106.62,249100
2011-11-25,106.4,107.58,106.3,106.3,75650
2011-11-28,109.26,109.82,108.64,109.48,155550
2011-11-29,109.76,110.5,109.4,109.8,134950
2011-11-30,112.9,114.48,112.62,114.3,424450
2011-12-01,114.14,114.84,113.82,114.22,107350
2011-12-02,115.4,115.68,114.14,114.16,127300
2011-12-05,116.0,116.28,114.72,115.4,194500
2011-12-06,115.38,116.2,115.02,115.5,67600
2011-12-07,115.1,116.32,114.36,115.88,86600
2011-12-08,115.02,115.26,113.08,113.38,93450
2011-12-09,113.88,115.54,113.8,115.3,882200
2011-12-12,114.28,114.28,112.66,113.64,127200
2011-12-13,114.22,114.76,112.0,112.56,162800
2011-12-14,112.1,112.5,111.1,111.3,945150
2011-12-15,112.52,112.62,111.56,111.72,82550
2011-12-16,112.52,113.1,111.64,111.8,1480000
2011-12-19,112.28,112.5,110.44,110.66,454150
2011-12-20,112.34,114.16,112.34,113.96,143850
2011-12-21,113.9,114.38,113.02,114.3,182650
2011-12-22,114.7,115.38,114.5,115.38,1439800
2011-12-23,114.96,115.68,114.76,115.6,256450
2011-12-27,115.38,118.0,115.36,115.72,388650
2011-12-28,115.72,115.72,114.1,114.3,180300
2011-12-29,114.62,118.16,114.52,115.34,259100
2011-12-30,115.32,115.56,114.9,114.9,254300
2012-01-03,116.9,117.46,116.6,116.6,163250
2012-01-04,116.44,116.92,115.96,116.8,448450
2012-01-05,116.28,117.3,115.68,117.18,253500
2012-01-06,117.3,117.3,116.48,116.94,166900
2012-01-09,117.14,117.24,116.54,117.12,177000
2012-01-10,118.36,118.54,117.98,118.12,261200
2012-01-11,117.78,118.34,117.56,118.24,203800
2012-01-12,118.52,118.64,117.58,118.5,202250
2012-01-13,117.7,118.0,116.82,118.0,147200
2012-01-17,118.98,119.18,118.06,118.32,324250
2012-01-18,118.32,119.64,118.1,119.64,172100
2012-01-19,120.0,120.34,119.72,120.28,224500
2012-01-20,120.08,120.34,119.78,120.28,345200
2012-01-23,120.28,120.98,119.86,120.4,130950
2012-01-24,119.68,120.3,119.48,120.22,203100
2012-01-25,120.08,121.54,119.64,121.28,254050
2012-01-26,121.86,122.0,120.16,120.66,137600
2012-01-27,120.04,120.78,120.0,120.5,104100
2012-01-30,119.4,120.2,118.98,120.1,329650
2012-01-31,120.8,120.92,119.6,120.04,157450
2012-02-01,121.0,121.74,120.86,121.18,99050
2012-02-02,121.44,121.66,120.96,121.42,143050
